Dataset,Group,Subject,Hemisphere,Region,Thickness,Bregma
Tissue,AIE,45,Right,anterior,2.69,-0.8
Tissue,AIE,46,Right,anterior,NA,-0.8
Tissue,AIE,33,Left,middle,2.49,-0.92
Tissue,AIE,34,Left,middle,NA,-0.92
Tissue,AIE,35,Left,middle,NA,-0.92
Tissue,AIE,37,Left,middle,NA,-0.92
Tissue,AIE,38,Left,middle,NA,-0.92
Tissue,AIE,39,Left,middle,2.46,-0.92
Tissue,AIE,40,Left,middle,2.49,-0.92
Tissue,AIE,43,Left,middle,2.54,-0.92
Tissue,AIE,45,Left,middle,2.70,-0.92
Tissue,AIE,46,Left,middle,NA,-0.92
Tissue,AIE,33,Right,middle,2.58,-0.92
Tissue,AIE,34,Right,middle,NA,-0.92
Tissue,AIE,35,Right,middle,NA,-0.92
Tissue,AIE,37,Right,middle,NA,-0.92
Tissue,AIE,38,Right,middle,NA,-0.92
Tissue,AIE,39,Right,middle,2.53,-0.92
Tissue,AIE,40,Right,middle,2.49,-0.92
Tissue,AIE,43,Right,middle,2.60,-0.92
Tissue,AIE,45,Right,middle,2.70,-0.92
Tissue,AIE,46,Right,middle,NA,-0.92
Tissue,AIE,33,Left,posterior,2.34,-1.4
Tissue,AIE,34,Left,posterior,2.40,-1.4
Tissue,AIE,35,Left,posterior,NA,-1.4
Tissue,AIE,37,Left,posterior,2.43,-1.4
Tissue,AIE,38,Left,posterior,NA,-1.4
Tissue,AIE,39,Left,posterior,2.43,-1.4
Tissue,AIE,40,Left,posterior,2.36,-1.4
Tissue,AIE,43,Left,posterior,2.39,-1.4
Tissue,AIE,45,Left,posterior,2.58,-1.4
Tissue,AIE,46,Left,posterior,NA,-1.4
Tissue,AIE,33,Right,posterior,2.36,-1.4
Tissue,AIE,34,Right,posterior,2.47,-1.4
Tissue,AIE,35,Right,posterior,NA,-1.4
Tissue,AIE,37,Right,posterior,2.37,-1.4
Tissue,AIE,38,Right,posterior,NA,-1.4
Tissue,AIE,39,Right,posterior,2.37,-1.4
Tissue,AIE,40,Right,posterior,2.37,-1.4
Tissue,AIE,43,Right,posterior,2.36,-1.4
Tissue,AIE,45,Right,posterior,2.54,-1.4
Tissue,AIE,46,Right,posterior,NA,-1.4
Tissue,AIE,33,Left,posterior,2.29,-1.8
Tissue,AIE,34,Left,posterior,2.48,-1.8
Tissue,AIE,35,Left,posterior,NA,-1.8
Tissue,AIE,37,Left,posterior,2.29,-1.8
Tissue,AIE,38,Left,posterior,2.39,-1.8
Tissue,AIE,39,Left,posterior,2.21,-1.8
Tissue,AIE,40,Left,posterior,2.28,-1.8
Tissue,AIE,43,Left,posterior,2.43,-1.8
Tissue,AIE,45,Left,posterior,2.47,-1.8
Tissue,AIE,46,Left,posterior,NA,-1.8
Tissue,AIE,33,Right,posterior,2.37,-1.8
Tissue,AIE,34,Right,posterior,2.39,-1.8
Tissue,AIE,35,Right,posterior,NA,-1.8
Tissue,AIE,37,Right,posterior,2.42,-1.8
Tissue,AIE,38,Right,posterior,2.35,-1.8
Tissue,AIE,39,Right,posterior,2.27,-1.8
Tissue,AIE,40,Right,posterior,2.19,-1.8
Tissue,AIE,43,Right,posterior,2.35,-1.8
Tissue,AIE,45,Right,posterior,NA,-1.8
Tissue,AIE,46,Right,posterior,NA,-1.8
Tissue,AIE,33,Left,posterior,NA,-2.12
Tissue,AIE,34,Left,posterior,2.25,-2.12
Tissue,AIE,35,Left,posterior,NA,-2.12
Tissue,AIE,37,Left,posterior,2.19,-2.12
Tissue,AIE,38,Left,posterior,2.13,-2.12
Tissue,AIE,39,Left,posterior,2.21,-2.12
Tissue,AIE,40,Left,posterior,2.13,-2.12
Tissue,AIE,43,Left,posterior,2.25,-2.12
Tissue,AIE,45,Left,posterior,NA,-2.12
Tissue,AIE,46,Left,posterior,NA,-2.12
Tissue,AIE,33,Right,posterior,NA,-2.12
Tissue,AIE,34,Right,posterior,2.36,-2.12
Tissue,AIE,35,Right,posterior,NA,-2.12
Tissue,AIE,37,Right,posterior,2.35,-2.12
Tissue,AIE,38,Right,posterior,2.18,-2.12
Tissue,AIE,39,Right,posterior,2.12,-2.12
Tissue,AIE,40,Right,posterior,2.17,-2.12
Tissue,AIE,43,Right,posterior,2.13,-2.12
Tissue,AIE,45,Right,posterior,NA,-2.12
Tissue,AIE,46,Right,posterior,NA,-2.12
